tracey_taxonomy_id,ncbi_taxonomy_id,species group,species subgroup,cohort,family,tribe,class,biotype,genotype,section,order,superorder,superphylum,pathogroup,subphylum,parvorder,subfamily,species,isolate,infraorder,subkingdom,forma,phylum,strain,superkingdom,suborder,kingdom,infraclass,superclass,superfamily,subtribe,subcohort,forma specialis,serogroup,subclass,varietas,series,genus,serotype,subgenus,subspecies
77,147550,-,-,-,-,-,Sordariomycetes,-,-,-,-,-,-,-,Pezizomycotina,-,-,-,-,-,Dikarya,-,Ascomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,147548,-,-,-,-,-,Leotiomycetes,-,-,-,-,-,-,-,Pezizomycotina,-,-,-,-,-,Dikarya,-,Ascomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,147541,-,-,-,-,-,Dothideomycetes,-,-,-,-,-,-,-,Pezizomycotina,-,-,-,-,-,Dikarya,-,Ascomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,147545,-,-,-,-,-,Eurotiomycetes,-,-,-,-,-,-,-,Pezizomycotina,-,-,-,-,-,Dikarya,-,Ascomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,33183,-,-,-,-,-,Eurotiomycetes,-,-,-,Onygenales,-,-,-,Pezizomycotina,-,-,-,-,-,Dikarya,-,Ascomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,Eurotiomycetidae,-,-,-,-,-,-
82,5042,-,-,-,-,-,Eurotiomycetes,-,-,-,Eurotiales,-,-,-,Pezizomycotina,-,-,-,-,-,Dikarya,-,Ascomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,Eurotiomycetidae,-,-,-,-,-,-
83,5475,-,-,-,Debaryomycetaceae,-,Saccharomycetes,-,-,-,Saccharomycetales,-,-,-,Saccharomycotina,-,-,-,-,-,Dikarya,-,Ascomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,Candida,-,-,-
84,4930,-,-,-,Saccharomycetaceae,-,Saccharomycetes,-,-,-,Saccharomycetales,-,-,-,Saccharomycotina,-,-,-,-,-,Dikarya,-,Ascomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,Saccharomyces,-,-,-
85,451455,-,-,-,-,-,Neocallimastigomycetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Chytridiomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,5207,Cryptococcus neoformans species complex,-,-,Cryptococcaceae,-,Tremellomycetes,-,-,-,Tremellales,-,-,-,Agaricomycotina,-,-,Cryptococcus neoformans,-,-,Dikarya,-,Basidiomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,Cryptococcus,-,-,-
87,99883,-,-,Euteleosteomorpha,Tetraodontidae,-,Actinopteri,-,-,-,Tetraodontiformes,-,-,-,Craniata,-,-,Tetraodon nigroviridis,-,-,-,-,Chordata,-,Eukaryota,Tetraodontoidei,Metazoa,Teleostei,Actinopterygii,Tetradontoidea,-,-,-,-,Neopterygii,-,-,Tetraodon,-,-,-
88,7955,-,-,Otomorpha,Danionidae,-,Actinopteri,-,-,-,Cypriniformes,Cypriniphysae,-,-,Craniata,-,Danioninae,Danio rerio,-,-,-,-,Chordata,-,Eukaryota,Cyprinoidei,Metazoa,Teleostei,Actinopterygii,-,-,Ostariophysi,-,-,Neopterygii,-,-,Danio,-,-,-
89,9031,-,-,-,Phasianidae,-,Aves,-,-,-,Galliformes,Galloanserae,-,-,Craniata,-,Phasianinae,Gallus gallus,-,-,-,-,Chordata,-,Eukaryota,-,Metazoa,Neognathae,Sarcopterygii,-,-,-,-,-,-,-,-,Gallus,-,-,-
90,9606,-,-,-,Hominidae,-,Mammalia,-,-,-,Primates,Euarchontoglires,-,-,Craniata,Catarrhini,Homininae,Homo sapiens,-,Simiiformes,-,-,Chordata,-,Eukaryota,Haplorrhini,Metazoa,-,Sarcopterygii,Hominoidea,-,-,-,-,-,-,-,Homo,-,-,-
91,5825,-,-,-,Plasmodiidae,-,Aconoidasida,-,-,-,Haemosporida,-,-,-,-,-,-,Plasmodium chabaudi,-,-,-,-,Apicomplexa,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,Plasmodium,-,Plasmodium (Vinckeia),-
92,10090,-,-,-,Muridae,-,Mammalia,-,-,-,Rodentia,Euarchontoglires,-,-,Craniata,-,Murinae,Mus musculus,-,-,-,-,Chordata,-,Eukaryota,Myomorpha,Metazoa,-,Sarcopterygii,-,-,-,-,-,-,-,-,Mus,-,Mus,-
93,3702,-,-,-,Brassicaceae,Camelineae,Magnoliopsida,-,-,-,Brassicales,-,-,-,Streptophytina,-,-,Arabidopsis thaliana,-,-,-,-,Streptophyta,-,Eukaryota,-,Viridiplantae,-,-,-,-,-,-,-,-,-,-,Arabidopsis,-,-,-
94,6182,-,-,-,Schistosomatidae,-,Trematoda,-,-,-,Strigeidida,-,-,-,-,-,-,Schistosoma japonicum,-,-,-,-,Platyhelminthes,-,Eukaryota,-,Metazoa,-,-,Schistosomatoidea,-,-,-,-,Digenea,-,-,Schistosoma,-,-,-
95,9615,-,-,-,Canidae,-,Mammalia,-,-,-,Carnivora,Laurasiatheria,-,-,Craniata,-,-,Canis lupus,-,-,-,-,Chordata,-,Eukaryota,Caniformia,Metazoa,-,Sarcopterygii,-,-,-,-,-,-,-,-,Canis,-,-,Canis lupus familiaris
96,6035,-,-,-,Unikaryonidae,-,-,-,-,-,-,-,-,-,-,-,-,Encephalitozoon cuniculi,-,-,-,-,Microsporidia,-,Eukaryota,Apansporoblastina,Fungi,-,-,-,-,-,-,-,-,-,-,Encephalitozoon,-,-,-
97,4959,-,-,-,Debaryomycetaceae,-,Saccharomycetes,-,-,-,Saccharomycetales,-,-,-,Saccharomycotina,-,-,Debaryomyces hansenii,-,-,Dikarya,-,Ascomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,Debaryomyces,-,-,-
98,9598,-,-,-,Hominidae,-,Mammalia,-,-,-,Primates,Euarchontoglires,-,-,Craniata,Catarrhini,Homininae,Pan troglodytes,-,Simiiformes,-,-,Chordata,-,Eukaryota,Haplorrhini,Metazoa,-,Sarcopterygii,Hominoidea,-,-,-,-,-,-,-,Pan,-,-,-
99,4952,-,-,-,Dipodascaceae,-,Saccharomycetes,-,-,-,Saccharomycetales,-,-,-,Saccharomycotina,-,-,Yarrowia lipolytica,-,-,Dikarya,-,Ascomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,Yarrowia,-,-,-
100,73239,-,-,-,Plasmodiidae,-,Aconoidasida,-,-,-,Haemosporida,-,-,-,-,-,-,Plasmodium yoelii,-,-,-,-,Apicomplexa,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,Plasmodium,-,Plasmodium (Vinckeia),Plasmodium yoelii yoelii
101,6238,-,-,-,Rhabditidae,-,Chromadorea,-,-,-,Rhabditida,-,-,-,-,-,Peloderinae,Caenorhabditis briggsae,-,Rhabditomorpha,-,-,Nematoda,-,Eukaryota,Rhabditina,Metazoa,-,-,Rhabditoidea,-,-,-,-,-,-,-,Caenorhabditis,-,-,-
102,7227,melanogaster group,melanogaster subgroup,Endopterygota,Drosophilidae,Drosophilini,Insecta,-,-,-,Diptera,-,-,-,Hexapoda,-,Drosophilinae,Drosophila melanogaster,-,Muscomorpha,-,-,Arthropoda,-,Eukaryota,Brachycera,Metazoa,Neoptera,-,Ephydroidea,-,-,-,-,Pterygota,-,-,Drosophila,-,Sophophora,-
103,33169,-,-,-,Saccharomycetaceae,-,Saccharomycetes,-,-,-,Saccharomycetales,-,-,-,Saccharomycotina,-,-,Eremothecium gossypii,-,-,Dikarya,-,Ascomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,Eremothecium,-,-,-
104,5141,-,-,-,Sordariaceae,-,Sordariomycetes,-,-,-,Sordariales,-,-,-,Pezizomycotina,-,-,Neurospora crassa,-,-,Dikarya,-,Ascomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,Sordariomycetidae,-,-,Neurospora,-,-,-
105,8355,-,-,-,Pipidae,-,Amphibia,-,-,-,Anura,Batrachia,-,-,Craniata,-,Xenopodinae,Xenopus laevis,-,-,-,-,Chordata,-,Eukaryota,-,Metazoa,-,Sarcopterygii,Pipoidea,-,-,-,-,-,-,-,Xenopus,-,Xenopus,-
106,6239,-,-,-,Rhabditidae,-,Chromadorea,-,-,-,Rhabditida,-,-,-,-,-,Peloderinae,Caenorhabditis elegans,-,Rhabditomorpha,-,-,Nematoda,-,Eukaryota,Rhabditina,Metazoa,-,-,Rhabditoidea,-,-,-,-,-,-,-,Caenorhabditis,-,-,-
107,5693,-,-,-,Trypanosomatidae,-,Kinetoplastea,-,-,-,Trypanosomatida,-,-,-,-,-,-,Trypanosoma cruzi,-,-,-,-,Euglenozoa,-,Eukaryota,-,-,-,-,-,-,-,-,-,Metakinetoplastina,-,-,Trypanosoma,-,Schizotrypanum,-
108,4932,-,-,-,Saccharomycetaceae,-,Saccharomycetes,-,-,-,Saccharomycetales,-,-,-,Saccharomycotina,-,-,Saccharomyces cerevisiae,-,-,Dikarya,-,Ascomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,Saccharomyces,-,-,-
109,7237,obscura group,pseudoobscura subgroup,Endopterygota,Drosophilidae,Drosophilini,Insecta,-,-,-,Diptera,-,-,-,Hexapoda,-,Drosophilinae,Drosophila pseudoobscura,-,Muscomorpha,-,-,Arthropoda,-,Eukaryota,Brachycera,Metazoa,Neoptera,-,Ephydroidea,-,-,-,-,Pterygota,-,-,Drosophila,-,Sophophora,-
