Root	root
BlMa	Blastopirellula marina
CaKu	Candidatus Kuenenia
PuGr_1	Puccinia graminis
MyFi	Mycosphaerella fijiensis
SeMo	Selaginella moellendorffii
VaPl	Vanderwaltozyma polyspora
TrVi_1	Trichoderma virens
MiPu	Micromonas pusilla
AsFl_1	Aspergillus flavus
SaPa	Saccharomyces paradoxus
SaMi	Saccharomyces mikatae
SaBa	Saccharomyces bayanus
SaKu	Saccharomyces kudriavzevii
SaCa	Naumovozyma castellii
SaKl	Lachancea kluyveri
KlWa	Lachancea waltii
BaBo_1	Babesia bovis
EnDi_1	Entamoeba dispar
PiSi	Picea sitchensis
RiCom	Ricinus communis
DuSa	Dunaliella salina
NoSc	Noctiluca scintillans
AlTa	Alexandrium tamarense
CrMu_1	Cryptosporidium muris
EnIn_1	Entamoeba invadens
EuGr	Euglena gracilis
GuTh	Guillardia theta
HaVe	Vermamoeba vermiformis
HeTr	Heterocapsa triquetra
IcMu	Ichthyophthirius multifiliis
IsGa_1	Isochrysis galbana
JaBa	Jakoba bahamiensis
JaLi	Jakoba libera
KaBe	Karenia brevis
NeCan_2	Neospora caninum
PaLu	Pavlova lutheri
PhPo	Physarum polycephalum
SaFa	Sarcocystis falcatula
SaNe	Sarcocystis neurona
SeEc	Seculamonas ecuadoriensis
CyRu	Cycas rumphii
PiNu	Pinus subgen. Pinus
PiAb	Picea abies
EiTe_1	Eimeria tenella
MaGl	Malassezia globosa CBS 7966
AcCa_3	Acanthamoeba castellanii
AcAc	Hyperamoeba
AlMac	Allomyces macrogynus
EuLo	Euglena longa
BiNa_1	Bigelowiella natans
BuPl	Buddenbrockia plumatellae
CeLo	Cercomonas longicauda
ChIn	Chlamydomonas incerta
CoPu	Convoluta pulchra
CyPa	Cyanophora paradoxa
DiPa	Diplonema papillatum
GlNo	Proterospongia
HeSp	Helicosporidium
HiAr	Histiona aroides
KaMi	Karlodinium micrum
MaCal	Malawimonas californiana
Mi_1	Micromonas
MoVe	Podila verticillata
NePa	Neocallimastix patriciarum
NeOl	Nephroselmis olivacea
OxTr	Oxytricha trifallax
PoPal_2	Heterostelium pallidum
PoPa_1	Polytomella parva
PrWi	Prototheca wickerhamii
ReAm	Reclinomonas americana
SaCo	Saitoella complicata
SaMa	Sawyeria marylandensis
ScOb	Tetradesmus obliquus
SaArc_2	Sphaeroforma arctica
SpPu_1	Spizellomyces punctatus
StLi	Stachyamoeba lipophora
StSr	Streblomastix strix
TaDe	Taphrina deformans
SoBi	Sorghum bicolor
TrVe	Trametes versicolor
LeSc	Leucosporidium scottii
LeEd	Lentinula edodes
PhPc	Phakopsora pachyrhizi
UrAp	Uromyces appendiculatus
