ncbi_id,tracey_id,species group,species subgroup,cohort,family,tribe,class,biotype,genotype,section,order,superorder,superphylum,pathogroup,subphylum,parvorder,subfamily,species,isolate,infraorder,subkingdom,forma,phylum,strain,superkingdom,suborder,kingdom,infraclass,superclass,superfamily,subtribe,subcohort,forma specialis,serogroup,subclass,varietas,series,genus,serotype,subgenus,subspecies
1265651,17723,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Agona str. 37.F.02,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1331265,17724,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis H918,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1412618,17725,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120929,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1265660,17726,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Agona str. 24.H.04,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1331278,17727,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis STO1-CHOC-0018,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1412619,17728,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120969,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1005460,17729,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Escherichia coli,-,-,-,-,Pseudomonadota,Escherichia coli 8.2524,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Escherichia,-,-,-
1265661,17730,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Agona str. 30.H.04,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1331279,17731,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis STO1-CHOC-0019,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1265662,17732,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Agona str. 50.E.08,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
